Organism_ID,Pit,Phylum,Organism,code
254.0,4.135403591618166,Bacteroidetes,Chryseobacterium indoltheticum (Strain: G0211),29
256.0,4.15121733748506,Bacteroidetes,Myroides odoratus (Flavobacterium odoratum) (Strain: NCTC11179),29
258.0,4.158175462528298,Bacteroidetes,Sphingobacterium spiritivorum (Strain: NCTC11388),29
259.0,4.165217946195888,Bacteroidetes,Sphingobacterium thalpophilum (Strain: NCTC11429),29
263.0,4.133437343393336,Proteobacteria,Francisella tularensis (Strain: 15NIIEG),1
264.0,4.134249987912479,Proteobacteria,Francisella novicida (Strain: TCH2015),1
266.0,4.071817952983569,Proteobacteria,Paracoccus denitrificans,1
267.0,4.060343746604857,Proteobacteria,Paracoccus sp.,1
271.0,3.9532945725464907,Deinococcus-Thermus,Thermus aquaticus (Strain: ATCC 25104 / DSM 625 / JCM 10724 / NBRC 103206 / NCIMB 11243 / YT-1),35
274.0,3.939862143488726,Deinococcus-Thermus,Thermus thermophilus (Strain: HC11),35
276.0,3.950796470848511,Deinococcus-Thermus,Thermus filiformis (Strain: ATCC 43280),35
285.0,4.098255457997947,Proteobacteria,Comamonas testosteroni (Pseudomonas testosteroni) (Strain: SWCO2),1
287.0,4.069457366025552,Proteobacteria,Pseudomonas aeruginosa (Strain: PN586(35)w),1
288.0,4.152660905858929,Proteobacteria,Pseudoalteromonas atlantica (Alteromonas atlantica) (Strain: NBRC 103033),1
292.0,4.056773850571471,Proteobacteria,Burkholderia cepacia (Pseudomonas cepacia) (Strain: DWS 37UF10B-2),1
293.0,4.032521140168354,Proteobacteria,Brevundimonas diminuta (Pseudomonas diminuta) (Strain: NCTC11165),1
294.0,4.109156697599402,Proteobacteria,Pseudomonas fluorescens (Strain: 90F12-2),1
296.0,4.112213662446174,Proteobacteria,Pseudomonas fragi (Strain: F1801),1
297.0,4.0691405354848955,Proteobacteria,Hydrogenophilus thermoluteolus (Pseudomonas hydrogenothermophila) (Strain: TH-1),1
298.0,4.107854027284551,Proteobacteria,Pseudomonas marginalis (Strain: DSM 13124),1
300.0,4.085701164408982,Proteobacteria,Pseudomonas mendocina (Strain: EF27),1
301.0,4.084261200644836,Proteobacteria,Pseudomonas oleovorans (Strain: AG1002),1
303.0,4.098728120324338,Proteobacteria,Pseudomonas putida (Arthrobacter siderocapsulatus) (Strain: NFIX47),1
304.0,4.042878031864656,Proteobacteria,Pelomonas saccharophila (Pseudomonas saccharophila) (Strain: DSM 654),1
305.0,4.0639610600937806,Proteobacteria,Ralstonia solanacearum (Pseudomonas solanacearum) (Strain: T78),1
306.0,4.096194411801788,Proteobacteria,Pseudomonas sp.,1
316.0,4.087809839429328,Proteobacteria,Pseudomonas stutzeri (Pseudomonas perfectomarina) (Strain: AK6),1
317.0,4.1128845678223565,Proteobacteria,Pseudomonas syringae (Strain: BS0292),1
318.0,4.119273148605542,Proteobacteria,Pseudomonas savastanoi pv. glycinea (Pseudomonas syringae pv. glycinea) (Strain: ICMP 4402),1
319.0,4.11811796724157,Proteobacteria,Pseudomonas savastanoi pv. phaseolicola (Pseudomonas syringae pv. phaseolicola) (Strain: ICMP 5059),1
321.0,4.111921966868354,Proteobacteria,Pseudomonas syringae pv. syringae (Strain: B728a),1
322.0,4.11875565077739,Proteobacteria,Pseudomonas amygdali pv. tabaci (Pseudomonas syringae pv. tabaci) (Strain: ICMP 4525),1
323.0,4.118175561311426,Proteobacteria,Pseudomonas syringae pv. tomato (Strain: ICMP2844),1
329.0,4.077842393125272,Proteobacteria,Ralstonia pickettii (Burkholderia pickettii) (Strain: ICMP-8657),1
333.0,4.099935113910815,Proteobacteria,Pseudomonas chlororaphis (Pseudomonas aureofaciens) (Strain: DSM 50083),1
337.0,4.045507955335923,Proteobacteria,Burkholderia glumae (Pseudomonas glumae) (Strain: FDAARGOS_346),1
339.0,4.056773748223946,Proteobacteria,Xanthomonas campestris (Strain: CFBP 7700),1
340.0,4.0657411614994805,Proteobacteria,Xanthomonas campestris pv. campestris (Strain: WHRI8960),1
343.0,4.040140140439011,Proteobacteria,Xanthomonas campestris pv. translucens (Strain: B1),1
346.0,4.06677550847769,Proteobacteria,Xanthomonas citri (Xanthomonas campestris pv. citri) (Strain: CFBP 7764),1
347.0,4.0682041317217585,Proteobacteria,Xanthomonas oryzae (Strain: NCPPB4346),1
350.0,4.062172635459091,Proteobacteria,Zoogloea ramigera (Strain: NBRC 15342),1
353.0,4.064159773655699,Proteobacteria,Azotobacter chroococcum (Strain: P204),1
358.0,4.096956779469885,Proteobacteria,Rhizobium radiobacter (Agrobacterium tumefaciens) (Agrobacterium radiobacter) (Strain: MAFF301724),1
359.0,4.0982601171942115,Proteobacteria,Agrobacterium rhizogenes (Strain: TPD7009),1
361.0,4.097036835996446,Proteobacteria,Agrobacterium sp.,1
373.0,4.102837154535307,Proteobacteria,Agrobacterium vitis (Rhizobium vitis) (Strain: Rr4),1
375.0,4.0866727619304655,Proteobacteria,Bradyrhizobium japonicum (Strain: Is-34),1
376.0,4.084171323357255,Proteobacteria,Bradyrhizobium sp.,1
380.0,4.0848899309718325,Proteobacteria,Rhizobium fredii (Sinorhizobium fredii) (Strain: NXT3),1
381.0,4.082868998735111,Proteobacteria,Rhizobium loti (Mesorhizobium loti) (Strain: NZP2014),1
382.0,4.082569052768873,Proteobacteria,Rhizobium meliloti (Ensifer meliloti) (Sinorhizobium meliloti) (Strain: USDA1184),1
384.0,4.0926079712695715,Proteobacteria,Rhizobium leguminosarum (Strain: Vaf12),1
386.0,4.092278837692899,Proteobacteria,Rhizobium leguminosarum bv. trifolii (Strain: CCGM5),1
387.0,4.093502873547971,Proteobacteria,Rhizobium leguminosarum bv. viciae (Strain: UPM791),1
391.0,4.096648171131077,Proteobacteria,Rhizobium sp.,1
394.0,4.084109444589562,Proteobacteria,Sinorhizobium fredii (strain NBRC 101917 / NGR234) (Strain: NBRC 101917 / NGR234),1
396.0,4.090691901278531,Proteobacteria,Rhizobium phaseoli (Strain: N671),1
398.0,4.0924889533189575,Proteobacteria,Rhizobium tropici (Strain: IGFRI Rhizo-19),1
408.0,4.014157461908253,Proteobacteria,Methylorubrum extorquens (Methylobacterium dichloromethanicum) (Methylobacterium extorquens),1
409.0,4.019446090174625,Proteobacteria,Methylobacterium sp.,1
410.0,3.989895671396991,Proteobacteria,Methylobacterium organophilum (Strain: DSM 760),1
418.0,4.145259392416552,Proteobacteria,Methylomonas sp.,1
421.0,4.143687223362641,Proteobacteria,Methylomonas methanica (Strain: R-45371),1
428.0,4.037176511761027,Proteobacteria,Methylosinus sporium (Strain: DSM 17706),1
435.0,4.1052056683925295,Proteobacteria,Acetobacter aceti (Strain: TMW2.1153),1
436.0,4.094326817682873,Proteobacteria,Komagataeibacter hansenii (Gluconacetobacter hansenii) (Strain: LMG 23726),1
438.0,4.1270517507005,Proteobacteria,Acetobacter pasteurianus (Acetobacter turbidans) (Strain: SRCM100623),1
442.0,4.097840467246418,Proteobacteria,Gluconobacter oxydans (Gluconobacter suboxydans) (Strain: LMG 27012),1
446.0,4.16738415042078,Proteobacteria,Legionella pneumophila (Strain: LG59),1
447.0,4.166849696361086,Proteobacteria,Fluoribacter bozemanae (Legionella bozemanii) (Strain: WIGA),1
448.0,4.164894393419097,Proteobacteria,Legionella erythra (Strain: SE-32A-C8),1
449.0,4.161962887765727,Proteobacteria,Legionella hackeliae (Strain: ATCC35250),1
450.0,4.170669252357901,Proteobacteria,Legionella longbeachae (Strain: NCTC11477),1
451.0,4.162125585020871,Proteobacteria,Tatlockia micdadei (Legionella micdadei) (Strain: NZ2015),1
452.0,4.173238420836723,Proteobacteria,Legionella spiritensis (Strain: Mt.St.Helens-9),1
453.0,4.161238568437518,Proteobacteria,Legionella feeleii (Strain: NCTC12022),1
454.0,4.170315228910702,Proteobacteria,Legionella israelensis (Strain: L18-01051),1
455.0,4.1613473221344695,Proteobacteria,Legionella jamestowniensis (Strain: JA-26-G1-E2),1
456.0,4.16241063591277,Proteobacteria,Legionella jordanis (Strain: BL-540),1
458.0,4.163934918547229,Proteobacteria,Legionella rubrilucens (Strain: WA-270A-C2),1
460.0,4.168080772650047,Proteobacteria,Legionella steigerwaltii (Strain: NCTC11991),1
463.0,4.1674196719247645,Proteobacteria,Fluoribacter dumoffii (Strain: NCTC11370),1
464.0,4.1673661158439215,Proteobacteria,Fluoribacter gormanii (Strain: NCTC11401),1
466.0,4.163338991390653,Proteobacteria,Legionella maceachernii (Strain: PX-1-G2-E2),1
470.0,4.159231416548993,Proteobacteria,Acinetobacter baumannii (Strain: LWSS- 03-02-11A),1
471.0,4.161684540607314,Proteobacteria,Acinetobacter calcoaceticus,1
472.0,4.163463894352759,Proteobacteria,Acinetobacter sp.,1
476.0,4.163052878224361,Proteobacteria,Moraxella bovis (Strain: Epp63 (300)),1
477.0,4.164528464973582,Proteobacteria,Moraxella lacunata (Strain: NCTC7911),1
478.0,4.165086754306111,Proteobacteria,Moraxella nonliquefaciens (Strain: CCUG 348),1
479.0,4.157932585984948,Proteobacteria,Moraxella sp.,1
480.0,4.162061782319155,Proteobacteria,Moraxella catarrhalis (Branhamella catarrhalis) (Strain: F23),1
483.0,4.14632691097281,Proteobacteria,Neisseria cinerea (Strain: NCTC10294),1
484.0,4.151828620027513,Proteobacteria,Neisseria flavescens (Strain: CNF),1
485.0,4.149338926390926,Proteobacteria,Neisseria gonorrhoeae (Strain: GCGS056),1
486.0,4.144895202500723,Proteobacteria,Neisseria lactamica (Strain: NCTC10616),1
487.0,4.147136713761248,Proteobacteria,Neisseria meningitidis (Strain: INS-Nm1137),1
488.0,4.153788324270303,Proteobacteria,Neisseria mucosa (Strain: ATCC 19696),1
490.0,4.150368162764402,Proteobacteria,Neisseria sicca (Strain: UMB0321),1
491.0,4.152342625938326,Proteobacteria,Neisseria meningitidis serogroup B (Strain: Neisseria meningitidis CHUV),1
492.0,4.139038547769795,Proteobacteria,Neisseria animalis (Strain: DSM 23392),1
493.0,4.155216695082574,Proteobacteria,Neisseria canis (Strain: NCTC10296),1
494.0,4.127451426635388,Proteobacteria,Bergeriella denitrificans (Neisseria denitrificans) (Strain: NCTC10295),1
495.0,4.1442039894678295,Proteobacteria,Neisseria elongata (Strain: NCTC10660),1
498.0,4.155167646917494,Proteobacteria,Psychrobacter immobilis (Strain: DSM 7229),1
504.0,4.150978090838734,Proteobacteria,Kingella kingae (Strain: KWG1),1
511.0,4.113664246495894,Proteobacteria,Alcaligenes faecalis (Strain: FDAARGOS_491),1
518.0,4.039868648600563,Proteobacteria,Bordetella bronchiseptica (Alcaligenes bronchisepticus) (Strain: A345),1
520.0,4.072678019615253,Proteobacteria,Bordetella pertussis (Strain: NCTC10911),1
526.0,4.040824464805298,Proteobacteria,Acidiphilium rubrum (Strain: ATCC 35905),1
529.0,4.104347554760951,Proteobacteria,Ochrobactrum anthropi (Strain: FRAF13),1
536.0,4.084498589473955,Proteobacteria,Chromobacterium violaceum (Strain: ATCC 315322),1
537.0,4.129447895750054,Proteobacteria,Iodobacter fluviatilis (Strain: NCTC11159),1
539.0,4.137377630975023,Proteobacteria,Eikenella corrodens (Strain: KCOM 3110),1
542.0,4.139280068190857,Proteobacteria,Zymomonas mobilis (Strain: AN0101),1
545.0,4.153910856996877,Proteobacteria,Citrobacter koseri (Citrobacter diversus) (Strain: NCTC10786),1
546.0,4.1598594472271,Proteobacteria,Citrobacter freundii (Strain: S1284),1
548.0,4.144191357150241,Proteobacteria,Klebsiella aerogenes (Enterobacter aerogenes) (Strain: NCTC9997),1
549.0,4.136979930583976,Proteobacteria,Enterobacter agglomerans (Erwinia herbicola) (Pantoea agglomerans) (Strain: NCTC9381),1
550.0,4.147962174494051,Proteobacteria,Enterobacter cloacae (Strain: CZ-1),1
553.0,4.140805455045489,Proteobacteria,Pantoea ananas (Erwinia uredovora) (Strain: PNA 14-1),1
554.0,4.146249874567564,Proteobacteria,Pectobacterium carotovorum (Erwinia carotovora) (Strain: S1.16.01.3K),1
555.0,4.149468693592725,Proteobacteria,Pectobacterium carotovorum subsp. carotovorum (Erwinia carotovora subsp. carotovora) (Strain: 67),1
562.0,4.163867330389553,Proteobacteria,Escherichia coli (Strain: JML122),1
564.0,4.1588518346438885,Proteobacteria,Escherichia fergusonii (Strain: YH17130),1
565.0,4.148429221759552,Proteobacteria,Atlantibacter hermannii (Escherichia hermannii) (Strain: NCTC12129),1
569.0,4.158838640463498,Proteobacteria,Hafnia alvei (Strain: NCTC8535),1
571.0,4.14713097116221,Proteobacteria,Klebsiella oxytoca (Strain: BX1S15),1
573.0,4.144530583802624,Proteobacteria,Klebsiella pneumoniae (Strain: 53),1
574.0,4.143564394019088,Proteobacteria,Klebsiella pneumoniae subsp. ozaenae (Strain: NCTC10313),1
575.0,4.146720778205215,Proteobacteria,Raoultella planticola (Klebsiella planticola) (Strain: NCTC13095),1
577.0,4.137653851165252,Proteobacteria,Raoultella terrigena (Klebsiella terrigena) (Strain: NCTC13098),1
580.0,4.152729437002769,Proteobacteria,Kluyvera cryocrescens (Kluyvera citrophila) (Strain: NCTC10483),1
582.0,4.157757042859918,Proteobacteria,Morganella morganii (Proteus morganii) (Strain: NLAE-zl-C84),1
584.0,4.1696857911996,Proteobacteria,Proteus mirabilis (Strain: FDAARGOS_284),1
585.0,4.166422909460736,Proteobacteria,Proteus vulgaris (Strain: CSUR P1867),1
587.0,4.166342288381705,Proteobacteria,Providencia rettgeri (Strain: PR002),1
588.0,4.168316919009246,Proteobacteria,Providencia stuartii (Strain: NCTC11800),1
589.0,4.161122994684291,Proteobacteria,Providencia sp.,1
595.0,4.155788557117856,Proteobacteria,Salmonella infantis (Strain: 88sab),1
596.0,4.157127012798899,Proteobacteria,Salmonella muenchen (Strain: HIY0178),1
600.0,4.15559392389911,Proteobacteria,Salmonella thompson (Strain: SH11G0791),1
611.0,4.1602367944734295,Proteobacteria,Salmonella enterica subsp. enterica serovar Heidelberg (Strain: 632),1
614.0,4.140576448313667,Proteobacteria,Serratia liquefaciens (Strain: FG3),1
615.0,4.125096761880203,Proteobacteria,Serratia marcescens (Strain: UMH6),1
618.0,4.136372475877961,Proteobacteria,Serratia odorifera (Strain: NCTC11214),1
621.0,4.1616091986359045,Proteobacteria,Shigella boydii (Strain: NCTC8576),1
622.0,4.161668386553651,Proteobacteria,Shigella dysenteriae (Strain: NCTC2966),1
623.0,4.164373075320934,Proteobacteria,Shigella flexneri (Strain: CFSAN059650),1
624.0,4.169621397091564,Proteobacteria,Shigella sonnei (Strain: AM23),1
630.0,4.14859338541112,Proteobacteria,Yersinia enterocolitica (Strain: YE02/02),1
631.0,4.15017948416023,Proteobacteria,Yersinia intermedia (Strain: BR165/97),1
632.0,4.153956907069083,Proteobacteria,Yersinia pestis (Strain: 91001 / Biovar Mediaevalis),1
633.0,4.154689562961399,Proteobacteria,Yersinia pseudotuberculosis (Strain: FDAARGOS_581),1
634.0,4.145288263532248,Proteobacteria,Yersinia bercovieri (Strain: SCPM-O-B-7607),1
636.0,4.1313937149992075,Proteobacteria,Edwardsiella tarda (Strain: FDAARGOS_370),1
638.0,4.170533062682241,Proteobacteria,Arsenophonus nasoniae (son-killer infecting Nasonia vitripennis) (Strain: FIN),1
644.0,4.123845032653728,Proteobacteria,Aeromonas hydrophila (Strain: ZYAH75),1
645.0,4.125147970626106,Proteobacteria,Aeromonas salmonicida (Strain: O23A),1
646.0,4.1296039701695095,Proteobacteria,Aeromonas sobria (Strain: TM18),1
648.0,4.1165544706605965,Proteobacteria,Aeromonas caviae (Aeromonas punctata) (Strain: GEO_37_Down_A),1
650.0,4.129741327884628,Proteobacteria,Aeromonas jandaei (Strain: Aer337),1
652.0,4.105037126658146,Proteobacteria,Aeromonas schubertii (Strain: WL1483),1
654.0,4.128150823263271,Proteobacteria,Aeromonas veronii (Strain: pamvotica),1
656.0,4.127938974000221,Proteobacteria,Aeromonas allosaccharophila (Strain: CCM 4363),1
659.0,4.169687867542272,Proteobacteria,Photobacterium phosphoreum (Strain: FS-6.1),1
661.0,4.165682812223725,Proteobacteria,Photobacterium angustum (Strain: ATCC 33975),1
663.0,4.160939799461903,Proteobacteria,Vibrio alginolyticus (Strain: ATCC 33787),1
666.0,4.160090330866765,Proteobacteria,Vibrio cholerae (Strain: NIH41),1
668.0,4.16234721566852,Proteobacteria,Aliivibrio fischeri (Vibrio fischeri) (Strain: NBRC 101058),1
669.0,4.161747112873465,Proteobacteria,Vibrio harveyi (Beneckea harveyi) (Strain: NCTC11318),1
670.0,4.164906213734092,Proteobacteria,Vibrio parahaemolyticus (Strain: GSJ2016VP009),1
672.0,4.162050188888568,Proteobacteria,Vibrio vulnificus (Strain: R02),1
673.0,4.152339456119879,Proteobacteria,Grimontia hollisae (Vibrio hollisae) (Strain: NCTC11645),1
674.0,4.158663385650947,Proteobacteria,Vibrio mimicus (Strain: ATCC 33655),1
676.0,4.158445876594169,Proteobacteria,Vibrio fluvialis (Strain: NCTC 11327),1
678.0,4.160398695807223,Proteobacteria,Vibrio sp.,1
680.0,4.1634701900908535,Proteobacteria,Vibrio campbellii (Strain: VIB391),1
685.0,4.160342035980615,Proteobacteria,Vibrio diazotrophicus (Strain: 99A),1
687.0,4.1698605222150364,Proteobacteria,Vibrio gazogenes (Strain: ATCC 43942),1
688.0,4.160567897430742,Proteobacteria,Aliivibrio logei (Vibrio logei) (Strain: 1S159),1
689.0,4.159330917357954,Proteobacteria,Vibrio mediterranei (Strain: 117-T6),1
691.0,4.16011556542369,Proteobacteria,Vibrio natriegens (Strain: CCUG 16374),1
693.0,4.156584498445465,Proteobacteria,Vibrio nereis (Strain: DSM 19584),1
703.0,4.14208512407408,Proteobacteria,Plesiomonas shigelloides (Aeromonas shigelloides) (Strain: MS-17-188),1
714.0,4.157760345023415,Proteobacteria,Aggregatibacter actinomycetemcomitans (Actinobacillus actinomycetemcomitans) (Haemophilus actinomycetemcomitans) (Strain: 624),1
715.0,4.160980833470419,Proteobacteria,Actinobacillus pleuropneumoniae (Haemophilus pleuropneumoniae) (Strain: NCTC11407),1
720.0,4.149745271954158,Proteobacteria,Actinobacillus lignieresii (Strain: NCTC4191),1
722.0,4.153137959922073,Proteobacteria,Actinobacillus seminis (Strain: NCTC10851),1
726.0,4.153846755987301,Proteobacteria,Haemophilus haemolyticus (Strain: CCUG 24149),1
727.0,4.15673265737555,Proteobacteria,Haemophilus influenzae (Strain: C188),1
728.0,4.156924191542895,Proteobacteria,Avibacterium paragallinarum (Haemophilus gallinarum) (Strain: FARPER-174),1
729.0,4.153275252232126,Proteobacteria,Haemophilus parainfluenzae (Strain: C2008001710),1
730.0,4.1534118813755665,Proteobacteria,Haemophilus ducreyi (Strain: NCTC11483),1
731.0,4.127400708872066,Proteobacteria,Histophilus somni (Haemophilus somnus) (Strain: UOC-EPH-KLM-07),1
732.0,4.1599436764088065,Proteobacteria,Aggregatibacter aphrophilus (Haemophilus aphrophilus) (Strain: NCTC5908),1
733.0,4.152733295375197,Proteobacteria,Haemophilus haemoglobinophilus (Strain: NCTC1659),1
734.0,4.14738760619809,Proteobacteria,Haemophilus paracuniculus (Strain: CCUG 43573),1
735.0,4.151254563993837,Proteobacteria,Haemophilus parahaemolyticus (Strain: NCTC10794),1
736.0,4.148763399766416,Proteobacteria,Haemophilus paraphrohaemolyticus (Strain: C2014016342),1
738.0,4.152441544530547,Proteobacteria,Haemophilus parasuis (Glaesserella parasuis) (Strain: NCTC4557),1
739.0,4.156404628562371,Proteobacteria,Aggregatibacter segnis (Strain: C2000002669),1
747.0,4.159933001041717,Proteobacteria,Pasteurella multocida (Strain: C51-3),1
749.0,4.154631450585047,Proteobacteria,Pasteurella aerogenes (Strain: NCTC13378),1
750.0,4.154975945289028,Proteobacteria,Gallibacterium anatis (Strain: NCTC11413),1
751.0,4.151391866457305,Proteobacteria,Avibacterium avium (Pasteurella avium) (Strain: NCTC 11297),1
753.0,4.1552487558230435,Proteobacteria,Pasteurella canis (Strain: NCTC11621),1
755.0,4.154942838799272,Proteobacteria,Avibacterium gallinarum (Pasteurella gallinarum) (Strain: NCTC11188),1
757.0,4.153116225991054,Proteobacteria,[Pasteurella] mairii (Strain: NCTC10699),1
758.0,4.157022729724636,Proteobacteria,Rodentibacter pneumotropicus (Strain: Ac84),1
762.0,4.15357294346232,Proteobacteria,Avibacterium volantium (Pasteurella volantium) (Strain: NCTC3438),1
779.0,4.140839011453153,Proteobacteria,Ehrlichia ruminantium (Cowdria ruminantium) (Strain: Kerr Seringe),1
813.0,4.164058503832243,Chlamydiae,Chlamydia trachomatis (Strain: H21IMS),14
817.0,4.185394334763362,Bacteroidetes,Bacteroides fragilis (Strain: CM13),29
818.0,4.188077404678621,Bacteroidetes,Bacteroides thetaiotaomicron (Strain: KPPR-3),29
820.0,4.189840329304876,Bacteroidetes,Bacteroides uniformis (Strain: TF08-13),29
821.0,4.192986363313928,Bacteroidetes,Bacteroides vulgatus (Strain: CL10T00C06),29
823.0,4.181247836758445,Bacteroidetes,Parabacteroides distasonis (Strain: AF33-31),29
827.0,4.0718167366382945,Proteobacteria,Campylobacter ureolyticus (Strain: UMB0112),1
831.0,4.158341488258039,Firmicutes,Butyrivibrio fibrisolvens (Strain: AR40),40
833.0,4.168611916729831,Fibrobacteres,Fibrobacter succinogenes (Bacteroides succinogenes) (Strain: HM2),32
837.0,4.16912627738271,Bacteroidetes,Porphyromonas gingivalis (Strain: SU60),29
839.0,4.197202491082537,Bacteroidetes,Prevotella ruminicola (Bacteroides ruminicola) (Strain: D31d),29
850.0,4.084791844742542,Fusobacteria,Fusobacterium mortiferum (Strain: AM25-1),34
851.0,4.065618320894383,Fusobacteria,Fusobacterium nucleatum (Strain: 12230),34
853.0,4.154487441485723,Firmicutes,Faecalibacterium prausnitzii (Strain: 2789STDY5834970),40
856.0,4.082026512067766,Fusobacteria,Fusobacterium varium (Strain: Fv113-g1),34
858.0,4.0736663574318435,Fusobacteria,Fusobacterium necrogenes (Strain: NCTC10723),34
859.0,4.114653665886117,Fusobacteria,Fusobacterium necrophorum (Strain: KG35),34
860.0,4.068301605348636,Fusobacteria,Fusobacterium periodonticum (Strain: KCOM 2653),34
861.0,4.088672938323349,Fusobacteria,Fusobacterium ulcerans (Strain: ATCC 49185),34
870.0,4.155600528086588,Proteobacteria,Dichelobacter nodosus (Bacteroides nodosus) (Strain: JK07B),1
876.0,4.131691283933523,Proteobacteria,Desulfovibrio desulfuricans (Strain: DSM 17919),1
882.0,4.093663376290841,Proteobacteria,Desulfovibrio vulgaris (strain Hildenborough / ATCC 29579 / DSM 644 / NCIMB 8303) (Strain: Hildenborough / ATCC 29579 / DSM 644 / NCIMB 8303),1
